지역(소),2019 02분기,2019 03분기,2019 04분기
광화문,12.6,5.8,3.7
동대문,6.7,7.1,7.3
명동,7.8,8.9,8.9
남대문,6.2,5.2,5.6
시청,12,12,10.9
을지로,4.9,5.7,5.7
종로,3.4,2.9,5.5
충무로,6.1,6.1,5
소계,8.5,8.1,8
강남대로,3.7,3.7,4
논현역,13.5,13.5,10.2
도산대로,10,9.7,9.7
서초,5.6,5.6,6.3
신사역,7.9,8.5,11.3
압구정,9.2,9.7,7.4
청담,17.6,11.3,8.8
테헤란로,15.1,16,14.1
소계,8.1,8.2,8.7
공덕역,6.7,6.7,6.7
신촌,7.6,9.4,11.6
영등포,9.4,9.8,9.5
홍대합정,7.6,5.6,5.4
소계,6.8,7.3,8.4
건대입구,4,6,5.2
경희대,2,2,3.8
군자,4.8,3.7,3.7
목동,6.4,6.4,4
불광역,2.8,2.8,2.8
사당,2.3,3.9,16.7
서울대입구역,4.1,3.8,3.8
성신여대,9.2,8.1,5.2
수유,3,2.9,2.3
신림역,2.2,2.2,1.4
오류동역,10.8,4.8,4.8
왕십리,6,6.5,6.5
용산,9.5,9.1,11.4
이태원,26.5,26.5,26.4
잠실,10.2,10.5,10.1
장안동,7.9,6,9.7
천호,6.2,9.2,10
청량리,4.8,4.5,4.5
혜화동,8,15.1,13.7
화곡,12.1,10.4,13.8
