지역(소),2020 01분기,2020 02분기,2020 03분기,2020 04분기
광화문,2.3,7.2,9.3,15.3
남대문,8.2,8.2,8.5,8
동대문,9.8,10.8,11.8,13.4
명동,7.4,8.4,9.8,22.3
시청,9.9,9.9,10,13.4
을지로,4,4,5.7,5.7
종로,6.1,7.5,9.9,10.7
충무로,7.2,7.2,7.2,6.2
소계,9.9,9.8,11.3,10.1
강남대로,7.4,8.5,16.4,8.7
교대역,8.7,6.5,6.2,6.2
남부터미널,4.7,4.7,2.5,3.6
논현역,11,12.5,13.4,13.4
도산대로,11.7,10.2,11.6,14.1
신사역,10.1,9.1,9.6,9.6
압구정,14.7,16.1,13.1,12.8
청담,8.6,8.6,10.2,11
테헤란로,14.8,12.6,13.1,15
소계,8.9,8.5,9.4,8.6
공덕역,5.2,5.2,5.2,5.2
당산역,3.5,3.5,4.7,5.7
망원역,1.6,1.6,1.6,1.8
신촌,10.3,10.5,12,10.7
영등포역,15.2,12.5,14.1,11.8
홍대합정,7.7,8.5,8.8,8.6
소계,6.7,6.6,6.3,7.3
가락시장,6.4,6.4,5.8,9.9
건대입구,6.2,6.1,4.5,5.5
경희대,3,3,2.2,1.1
구로디지털공단역,1.3,1.3,3.1,6.4
군자,5.3,5.3,3.9,3.9
노량진,6.3,6.3,6.3,5.2
뚝섬,4.2,2.1,1.3,1.7
목동,6.1,6.1,4.3,5
불광역,12.3,12.3,12.3,12.3
사당,3.8,3.8,3.8,5.4
상계역,2.2,2.3,1.5,1.5
서울대입구역,4,4,4.7,4.7
성신여대,8.1,10,8.4,14.5
수유,1.8,2.8,2.3,3.9
숙명여대,2.1,6.9,5.6,8
신림역,1.4,1.4,2.5,2.5
오류동역,4.6,9.6,4.8,4.8
왕십리,4,4,4,4
용산역,14.1,12.1,12.3,13.5
이태원,28.9,29.6,24.9,26.7
잠실새내역,13.1,12.7,12.5,10.1
잠실송파,9.5,10.7,11.8,12.4
장안동,17.1,13.7,10,11
천호,7.2,6.4,4.1,5.7
청량리,4.6,4.6,4.7,4.6
혜화동,10.4,8.7,13,14.6
화곡,6.7,7.1,12.9,12.5
