지역(소),2019 02분기,2019 03분기,2019 04분기,2020 01분기,2020 02분기,2020 03분기,2020 04분기,2021 01분기
가락시장,,,,6.4,6.4,5.8,9.9,11.3
강남대로,3.7,3.7,4.0,7.4,8.5,16.4,8.7,9.5
건대입구,4.0,6.0,5.2,6.2,6.1,4.5,5.5,3.0
경희대,2.0,2.0,3.8,3.0,3.0,2.2,1.1,
경희대학교,,,,,,,,2.3
공덕역,6.7,6.7,6.7,5.2,5.2,5.2,5.2,6.8
광화문,12.6,5.8,3.7,2.3,7.2,9.3,15.3,23.0
교대역,,,,8.7,6.5,6.2,6.2,8.0
구로디지털공단역,,,,1.3,1.3,3.1,6.4,
구로디지털단지역,,,,,,,,3.1
군자,4.8,3.7,3.7,5.3,5.3,3.9,3.9,5.7
남대문,6.2,5.2,5.6,8.2,8.2,8.5,8.0,12.6
남부터미널,,,,4.7,4.7,2.5,3.6,3.9
노량진,,,,6.3,6.3,6.3,5.2,7.0
논현역,13.5,13.5,10.2,11.0,12.5,13.4,13.4,19.1
당산역,,,,3.5,3.5,4.7,5.7,12.9
도산대로,10.0,9.7,9.7,11.7,10.2,11.6,14.1,12.8
독산시흥,,,,,,,,10.6
동교연남,,,,,,,,2.2
동대문,6.7,7.1,7.3,9.8,10.8,11.8,13.4,11.9
뚝섬,,,,4.2,2.1,1.3,1.7,1.3
망원역,,,,1.6,1.6,1.6,1.8,2.3
명동,7.8,8.9,8.9,7.4,8.4,9.8,22.3,37.3
목동,6.4,6.4,4.0,6.1,6.1,4.3,5.0,3.1
미아사거리,,,,,,,,5.5
불광역,2.8,2.8,2.8,12.3,12.3,12.3,12.3,11.1
사당,2.3,3.9,16.7,3.8,3.8,3.8,5.4,6.1
상계역,,,,2.2,2.3,1.5,1.5,0.9
서래마을,,,,,,,,11.1
서울대입구역,4.1,3.8,3.8,4.0,4.0,4.7,4.7,7.0
서초,5.6,5.6,6.3,,,,,
성신여대,9.2,8.1,5.2,8.1,10.0,8.4,14.5,
성신여자대학교,,,,,,,,13.7
수유,3.0,2.9,2.3,1.8,2.8,2.3,3.9,4.2
숙명여대,,,,2.1,6.9,5.6,8.0,
숙명여자대학교,,,,,,,,2.3
시청,12.0,12.0,10.9,9.9,9.9,10.0,13.4,8.4
신림역,2.2,2.2,1.4,1.4,1.4,2.5,2.5,4.0
신사역,7.9,8.5,11.3,10.1,9.1,9.6,9.6,13.6
신촌,7.6,9.4,11.6,10.3,10.5,12.0,10.7,
신촌이대,,,,,,,,13.2
압구정,9.2,9.7,7.4,14.7,16.1,13.1,12.8,
압구정동,,,,,,,,9.3
양재말죽거리,,,,,,,,6.0
양재역,,,,,,,,11.2
연신내,,,,,,,,3.2
영등포,9.4,9.8,9.5,,,,,15.7
영등포역,,,,15.2,12.5,14.1,11.8,
오류동역,10.8,4.8,4.8,4.6,9.6,4.8,4.8,4.6
왕십리,6.0,6.5,6.5,4.0,4.0,4.0,4.0,2.9
용산,9.5,9.1,11.4,,,,,
용산역,,,,14.1,12.1,12.3,13.5,12.8
을지로,4.9,5.7,5.7,4.0,4.0,5.7,5.7,5.4
이태원,26.5,26.5,26.4,28.9,29.6,24.9,26.7,18.7
잠실,10.2,10.5,10.1,,,,,
잠실새내역,,,,13.1,12.7,12.5,10.1,9.4
잠실송파,,,,9.5,10.7,11.8,12.4,11.1
장안동,7.9,6.0,9.7,17.1,13.7,10.0,11.0,10.2
종로,3.4,2.9,5.5,6.1,7.5,9.9,10.7,9.8
천호,6.2,9.2,10.0,7.2,6.4,4.1,5.7,6.2
청담,17.6,11.3,8.8,8.6,8.6,10.2,11.0,18.3
청량리,4.8,4.5,4.5,4.6,4.6,4.7,4.6,7.9
충무로,6.1,6.1,5.0,7.2,7.2,7.2,6.2,5.7
테헤란로,15.1,16.0,14.1,14.8,12.6,13.1,15.0,18.8
혜화동,8.0,15.1,13.7,10.4,8.7,13.0,14.6,12.1
홍대합정,7.6,5.6,5.4,7.7,8.5,8.8,8.6,15.0
화곡,12.1,10.4,13.8,6.7,7.1,12.9,12.5,10.8
