지역(소),2020 01분기,2020 02분기,2020 03분기,2020 04분기
광화문,0.0,4.3,4.3,4.3
남대문,5.3,5.3,5.3,9.9
동대문,2.5,2.5,2.5,2.5
명동,0.0,0.0,28.5,41.2
시청,0.0,0.0,0.0,0.0
을지로,3.4,3.4,3.4,3.4
종로,1.5,2.9,10.2,12.8
충무로,2.1,5.3,10.9,10.9
강남대로,2.0,2.0,2.0,2.0
교대역,0.0,0.0,0.0,0.0
남부터미널,10.1,0.0,0.0,0.0
논현역,8.4,8.4,8.4,8.4
도산대로,0.0,0.0,0.0,0.0
신사역,0.0,0.0,0.0,0.0
압구정,6.0,0.0,0.0,0.0
청담,0.0,0.0,0.0,0.0
테헤란로,1.4,9.2,9.2,9.2
공덕역,0.0,0.0,0.0,0.0
당산역,0.0,0.0,0.0,0.0
망원역,2.3,0.0,0.0,0.0
신촌,7.3,7.3,10.3,3.0
영등포,4.9,2.5,3.2,4.1
홍대합정,7.5,9.9,9.2,19.2
가락시장,0.0,0.0,0.0,0.0
건대입구,0.0,0.0,0.0,7.3
경희대,0.0,0.0,0.0,0.0
군자,0.0,0.0,0.0,0.0
노량진,8.5,8.5,8.5,8.5
뚝섬,2.0,0.0,0.0,0.0
목동,17.3,17.3,30.0,30.0
불광역,0.0,0.0,0.0,0.0
사당,6.6,6.6,6.6,6.6
상계역,5.7,5.7,5.7,5.7
서울대입구역,7.5,7.5,7.5,7.5
성신여대,1.1,1.1,1.1,2.6
수유,9.4,8.0,8.0,8.0
숙명여대,0.0,0.0,0.0,0.0
신림역,1.4,1.4,1.4,1.4
오류동역,0.0,0.0,2.5,7.0
왕십리,3.4,3.4,3.4,3.4
용산역,5.0,5.0,6.2,8.2
이태원,6.4,15.2,30.3,34.9
잠실새내역,9.7,9.7,9.7,9.4
잠실송파,0.0,0.0,0.0,0.0
장안동,17.5,17.5,17.5,16.2
천호,0.0,0.0,3.3,24.7
청량리,2.8,3.8,2.6,2.6
혜화동,6.0,6.0,6.0,6.0
화곡,1.3,1.3,1.3,1.3
