지역(소),2021 01분기,2021 02분기
광화문,4.2,4.3
남대문,8.1,8.1
동대문,2.5,2.5
명동,38.3,43.3
시청,0.0,0.0
을지로,3.1,3.1
종로,6.6,8.7
충무로,10.4,3.6
강남대로,2.0,2.0
교대역,0.0,0.0
남부터미널,0.0,0.0
논현역,7.3,0.0
도산대로,14.7,0.0
신사역,3.4,7.7
압구정,0.0,0.0
청담,0.0,0.0
테헤란로,5.3,5.3
공덕역,0.0,0.0
당산역,0.0,0.0
동교/연남,4.2,4.2
망원역,0.0,0.0
신촌/이대,5.5,7.2
영등포,2.2,3.7
홍대/합정,22.6,22.6
가락시장,0.0,0.0
건대입구,0.0,0.0
경희대,2.8,2.8
군자,0.0,0.0
노량진,9.6,12.6
독산/시흥,3.8,3.8
뚝섬,0.0,0.0
목동,10.6,10.6
미아사거리,4.7,0.0
불광역,0.0,0.0
사당,6.0,6.0
상계역,0.0,0.0
서울대입구역,7.5,7.5
성신여대,2.3,16.3
수유,7.4,7.4
숙명여대,0.9,0.0
신림역,1.4,1.4
연신내,6.9,6.9
오류동역,11.1,9.4
왕십리,3.4,0.0
용산역,8.2,8.2
이태원,31.9,31.9
잠실/송파,7.2,7.2
잠실새내역,7.2,7.2
장안동,16.2,13.5
천호,21.3,21.3
청량리,3.7,6.7
혜화동,1.0,1.0
화곡,7.1,1.1
