지역(소),2019 01분기,2019 02분기,2019 03분기,2019 04분기,2020 01분기,2020 02분기,2020 03분기,2020 04분기,2021 01분기,2021 02분기
광화문,0.7,0.7,0.7,0.7,0,4.3,4.3,4.3,4.2,4.3
동대문,0,3.5,3.5,4.6,2.5,2.5,2.5,2.5,2.5,2.5
명동,0,0,0,0,0,0,28.5,41.2,38.3,43.3
남대문,6.2,6.2,11.3,13.3,5.3,5.3,5.3,9.9,8.1,8.1
시청,2.1,2.1,2.1,6.6,0,0,0,0,0,0
을지로,6.1,6.1,6.1,6.1,3.4,3.4,3.4,3.4,3.1,3.1
종로,2.8,3.2,2.4,1.8,1.5,2.9,10.2,12.8,6.6,8.7
충무로,0.8,0.8,1.3,0.8,2.1,5.3,10.9,10.9,10.4,3.6
강남대로,2.1,2.1,2.1,2.1,2,2,2,2,2,2
논현역,9.3,9.3,9.3,9.3,8.4,8.4,8.4,8.4,7.3,0
도산대로,0,0,0,0,0,0,0,0,14.7,0
서초,0,0,0,0,,,,,,
신사역,18.2,18.2,0,0,0,0,0,0,3.4,7.7
압구정,6.7,6.4,6.4,14.5,6,0,0,0,0,0
청담,0,0,0,0,0,0,0,0,0,0
테헤란로,1.8,1.8,1.8,1.8,1.4,9.2,9.2,9.2,5.3,5.3
공덕역,0,0,0,0,0,0,0,0,0,0
신촌,5.2,5.2,5.1,0,7.3,7.3,10.3,3,,
영등포,1.9,0,0,0,4.9,2.5,3.2,4.1,2.2,3.7
홍대합정,4.3,1.4,6.3,7.3,7.5,9.9,9.2,19.2,22.6,22.6
건대입구,0,0,0,0,0,0,0,7.3,0,0
경희대,0,3.2,0,0,0,0,0,0,2.8,2.8
군자,0,0,0,0,0,0,0,0,0,0
목동,0,0,28.6,28.6,17.3,17.3,30,30,10.6,10.6
불광역,0,0,0,0,0,0,0,0,0,0
사당,9,9,9,9,6.6,6.6,6.6,6.6,6,6
서울대입구역,5.5,5.5,5.5,5.5,7.5,7.5,7.5,7.5,7.5,7.5
성신여대,0,0,2.5,2.5,1.1,1.1,1.1,2.6,2.3,16.3
수유,0,0,0,7,9.4,8,8,8,7.4,7.4
신림역,0,0,8.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4
오류동역,6.4,8.6,7.5,6.4,0,0,2.5,7,11.1,9.4
왕십리,0,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,0
용산,3,3,3,3,,,,,,
이태원,0,0,0,0,6.4,15.2,30.3,34.9,31.9,31.9
잠실,2,2,2,2,,,,,,
장안동,0,0,0,4.8,17.5,17.5,17.5,16.2,16.2,13.5
천호,6.5,1.4,1.4,0,0,0,3.3,24.7,21.3,21.3
청량리,2.4,3.8,3.9,3.9,2.8,3.8,2.6,2.6,3.7,6.7
혜화동,0,4.4,4.4,5.4,6,6,6,6,1,1
화곡,2.3,2.3,2.3,2.3,1.3,1.3,1.3,1.3,7.1,1.1
교대역,,,,,0,0,0,0,0,0
남부터미널,,,,,10.1,0,0,0,0,0
당산역,,,,,0,0,0,0,0,0
망원역,,,,,2.3,0,0,0,0,0
가락시장,,,,,0,0,0,0,0,0
노량진,,,,,8.5,8.5,8.5,8.5,9.6,12.6
뚝섬,,,,,2,0,0,0,0,0
상계역,,,,,5.7,5.7,5.7,5.7,0,0
숙명여대,,,,,0,0,0,0,0.9,0
용산역,,,,,5,5,6.2,8.2,8.2,8.2
잠실새내역,,,,,9.7,9.7,9.7,9.4,7.2,7.2
잠실송파,,,,,0,0,0,0,,
동교/연남,,,,,,,,,4.2,4.2
신촌/이대,,,,,,,,,5.5,7.2
홍대/합정,,,,,,,,,22.6,22.6
독산/시흥,,,,,,,,,3.8,3.8
미아사거리,,,,,,,,,4.7,0
연신내,,,,,,,,,6.9,6.9
잠실/송파,,,,,,,,,7.2,7.2
