년월,오프라인_13개사_전년동월대비_성장률,온라인_13개사_전년동월대비_성장률,전체_26개사_전년동월대비_성장률
16-01-31,16.6,44.4,19.8
16-02-29,-2.1,10.9,-0.8
16-03-31,3.8,28.8,6.5
16-04-30,6.7,22.2,8.4
16-05-31,0.3,28,2.9
16-06-30,6.4,4,6.1
16-07-31,7.8,14.6,8.6
16-08-31,8.7,36.5,11.4
16-09-30,3.7,17.9,5.3
16-10-31,12,20.6,13
16-11-30,7.1,26.4,9.5
16-12-31,9.9,24.7,11.7
17-01-31,17.7,18.6,17.8
17-02-28,-10,19.5,-6.8
17-03-31,9.5,25.5,11.5
17-04-30,8.3,24.7,10.2
17-05-31,8.1,25.7,10.1
17-06-30,9.2,33.2,12
17-07-31,7.1,27.6,9.4
17-08-31,1.8,23.4,4.2
17-09-30,4.2,42,8.6
17-10-31,7.7,14.1,8.5
17-11-30,4.7,27.1,7.8
17-12-31,5.2,25.4,7.8
18-01-31,-12.9,19.6,-8.5
18-02-28,26.6,49.2,29.8
18-03-31,4.2,24.5,7
18-04-30,1.9,30.2,5.8
18-05-31,1.6,31.2,5.5
18-06-30,5.7,24.4,8.3
18-07-31,3.6,32.7,7.4
18-08-31,5.8,30.5,9.1
18-09-30,8.2,15.6,9.4
18-10-31,-4.2,45.6,2.1
18-11-30,4.6,27.7,8.3
18-12-31,2.3,24.6,5.5
19-01-31,12.3,42.9,17.5
19-02-28,-10.7,-2.8,-9.4
19-03-31,2.4,24.3,5.9
19-04-30,-0.9,28.4,3.9
19-05-31,1.9,28.9,6.3
19-06-30,0.8,23.2,4.5
19-07-31,-4.4,21.7,-0.3
19-08-31,1.7,26.3,5.6
19-09-30,-6.2,15,-2.8
19-10-31,2,26.3,6.3
19-11-30,2,26.5,6.7
19-12-31,-1.4,30.4,4
20-01-31,4.8,18.9,7.7
20-02-29,-1.4,92.5,15
20-03-31,-5.7,75.4,9.7
20-04-30,-1.7,56.4,10.2
20-05-31,-8.6,38.8,0.8
20-06-30,-7.1,37.2,1.3
20-07-31,-3.7,46,6
20-08-31,-4.3,43,4.8
20-09-30,8.3,60.2,18.5
20-10-31,-1.3,42.1,8
20-11-30,-2.2,46.4,8.9
20-12-31,3.4,74.4,18.6
21-01-31,-6.5,48.8,6.4
21-02-28,11.6,16.7,13.1
21-03-31,3.4,11.5,5.8
21-04-30,3.9,18.9,8.3
21-05-31,10.6,32.9,16.7
21-06-30,6.6,40,15.1
