년도,월,광역시도,업종,값(만)
2019,3,서울,닭/오리요리,2300
2019,4,서울,닭/오리요리,2222
2019,5,서울,닭/오리요리,2422
2019,6,서울,닭/오리요리,2396
2019,7,서울,닭/오리요리,2582
2019,8,서울,닭/오리요리,2416
2019,9,서울,닭/오리요리,2046
2019,10,서울,닭/오리요리,2292
2019,11,서울,닭/오리요리,2211
2019,12,서울,닭/오리요리,2329
2020,1,서울,닭/오리요리,2077
2020,2,서울,닭/오리요리,1940
2019,3,서울,미용서비스,1507
2019,4,서울,미용서비스,1399
2019,5,서울,미용서비스,1434
2019,6,서울,미용서비스,1460
2019,7,서울,미용서비스,1461
2019,8,서울,미용서비스,1491
2019,9,서울,미용서비스,1401
2019,10,서울,미용서비스,1418
2019,11,서울,미용서비스,1443
2019,12,서울,미용서비스,1469
2020,1,서울,미용서비스,1400
2020,2,서울,미용서비스,1327
2019,3,서울,분식,2142
2019,4,서울,분식,2158
2019,5,서울,분식,2278
2019,6,서울,분식,2209
2019,7,서울,분식,2289
2019,8,서울,분식,2293
2019,9,서울,분식,2006
2019,10,서울,분식,2306
2019,11,서울,분식,2184
2019,12,서울,분식,2202
2020,1,서울,분식,1974
2020,2,서울,분식,1728
2019,3,서울,의복/의류,3169
2019,4,서울,의복/의류,3064
2019,5,서울,의복/의류,3270
2019,6,서울,의복/의류,3070
2019,7,서울,의복/의류,2864
2019,8,서울,의복/의류,2788
2019,9,서울,의복/의류,3132
2019,10,서울,의복/의류,3394
2019,11,서울,의복/의류,3592
2019,12,서울,의복/의류,3341
2020,1,서울,의복/의류,3207
2020,2,서울,의복/의류,2775
2019,3,서울,일반병원,8464
2019,4,서울,일반병원,8712
2019,5,서울,일반병원,8857
2019,6,서울,일반병원,8261
2019,7,서울,일반병원,9027
2019,8,서울,일반병원,8931
2019,9,서울,일반병원,8076
2019,10,서울,일반병원,9170
2019,11,서울,일반병원,9138
2019,12,서울,일반병원,9499
2020,1,서울,일반병원,9400
2020,2,서울,일반병원,8312
2019,3,서울,입시학원,5318
2019,4,서울,입시학원,4138
2019,5,서울,입시학원,5175
2019,6,서울,입시학원,4786
2019,7,서울,입시학원,5453
2019,8,서울,입시학원,5381
2019,9,서울,입시학원,5001
2019,10,서울,입시학원,4617
2019,11,서울,입시학원,4670
2019,12,서울,입시학원,4944
2020,1,서울,입시학원,4945
2020,2,서울,입시학원,4302
2019,3,서울,중식,4518
2019,4,서울,중식,4170
2019,5,서울,중식,4408
2019,6,서울,중식,4196
2019,7,서울,중식,4443
2019,8,서울,중식,4267
2019,9,서울,중식,3783
2019,10,서울,중식,4187
2019,11,서울,중식,4251
2019,12,서울,중식,4862
2020,1,서울,중식,4119
2020,2,서울,중식,3533
2019,3,서울,커피/음료,2564
2019,4,서울,커피/음료,2508
2019,5,서울,커피/음료,2774
2019,6,서울,커피/음료,2622
2019,7,서울,커피/음료,2714
2019,8,서울,커피/음료,2713
2019,9,서울,커피/음료,2518
2019,10,서울,커피/음료,2670
2019,11,서울,커피/음료,2586
2019,12,서울,커피/음료,2741
2020,1,서울,커피/음료,2493
2020,2,서울,커피/음료,2114
2019,3,서울,한식,3119
2019,4,서울,한식,3043
2019,5,서울,한식,3188
2019,6,서울,한식,3071
2019,7,서울,한식,3162
2019,8,서울,한식,3156
2019,9,서울,한식,2866
2019,10,서울,한식,3221
2019,11,서울,한식,3263
2019,12,서울,한식,3615
2020,1,서울,한식,2989
2020,2,서울,한식,2526
2019,3,서울,화장품소매,7274
2019,4,서울,화장품소매,6086
2019,5,서울,화장품소매,6850
2019,6,서울,화장품소매,6895
2019,7,서울,화장품소매,6773
2019,8,서울,화장품소매,6882
2019,9,서울,화장품소매,7268
2019,10,서울,화장품소매,6998
2019,11,서울,화장품소매,7201
2019,12,서울,화장품소매,8465
2020,1,서울,화장품소매,8791
2020,2,서울,화장품소매,7393
